Designator,Footprint,Quantity,Value,LCSC Part #
,3de8fe12-37a5-452a-bb1a-009fa3aa5af1,1,,
"C1, C10, C4, C8",0402,4,1u,C52923
"C11, C12, C13, C14, C15, C16, C5, C6, C7, C9",0402,10,100n,C1525
"C17, C20",0402,2,10uF,C15525
C18,0402,1,100nF,C1525
C19,0402,1,1uF,C52923
"C2, C3",0402,2,30p,C1570
D1,SOT-363_L2.0-W1.3-P0.65-LS2.1-BR,1,SMF05CT1G,C15879
F1,F0805,1,MF-PSMF050X-2,C116170
LED1,LED0603-RD-YELLOW,1,19-213/Y2C-CQ2R2L/3T(CY),C72038
"R1, R5, R8",0402,3,1k,C11702
"R10, R11, R3, R4",0402,4,27,C138021
R2,0402,1,10k,C25744
"SW18, SW19, SW20",KEY-SMD_K2-1177SW-A4DW-06,3,SW_Push,C92582
U1,SOT-23-5,1,TLV73333PDBV,C134139
U3,RP2040-QFN-56,1,RP2040,C2040
U4,QSOP-16_L4.9-W3.9-P0.64-LS6.0-BL,1,CH334R,C4154405
U5,DFN-8_L3.0-W2.0-P0.50-BL-EP_XT25XXX,1,XT25F32FDTIGT,C7429719
USB1,USB-A-TH_AM-90-CB,1,AM 90°CB,C6386906
"USB2, USB3, USB4",USB-A-TH_C42425,3,JTJ-USB-AF-90-10.6X13.1-H5.7-002,C42425
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,C9002
Y2,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,X322512MSB4SI,C9002
