Designator,Mid X,Mid Y,Rotation,Layer
,174.2606,-115.093495,0.0,top
C1,188.923149,-111.48,90.0,top
C10,181.144,-110.612945,90.0,top
C11,174.075,-114.679945,270.0,top
C12,183.725,-119.2,0.0,top
C13,174.073,-119.353545,270.0,top
C14,181.06565,-123.422178,0.0,top
C15,182.9728,-110.612945,90.0,top
C16,182.0584,-110.612945,90.0,top
C17,192.355,-127.875,0.0,top
C18,192.355,-128.8,0.0,top
C19,192.355,-129.725,0.0,top
C2,177.425,-122.475,0.0,top
C20,193.075,-140.45,270.0,top
C3,178.8,-125.5,270.0,top
C4,183.8872,-110.612945,90.0,top
C5,174.6,-109.079945,90.0,top
C6,178.4,-110.612945,90.0,top
C7,181.06565,-122.454945,0.0,top
C8,180.2296,-110.612945,90.0,top
C9,179.3152,-110.612945,90.0,top
D1,190.375,-108.575,0.0,top
F1,190.525,-140.425,0.0,top
LED1,182.675,-126.025,180.0,top
R1,174.6,-112.804945,270.0,top
R10,186.601,-131.2898,180.0,top
R11,186.6,-130.35,180.0,top
R2,174.6,-110.929945,270.0,top
R3,192.2102,-109.15,270.0,top
R4,193.15,-109.15,270.0,top
R5,178.8,-123.65,90.0,top
R8,183.65,-127.625,90.0,top
SW18,192.275,-144.275,90.0,top
SW19,187.18,-127.75,180.0,top
SW20,175.35,-144.275,90.0,top
U1,186.403051,-110.9873,0.0,top
U3,178.65,-117.854945,0.0,top
U4,190.775,-134.975,0.0,top
U5,176.025,-110.459445,270.0,top
USB1,183.775,-106.35,180.0,top
USB2,183.8297,-144.48,0.0,top
USB3,188.2525,-119.17,90.0,top
USB4,179.475,-133.5948,270.0,top
Y1,176.225,-124.7,180.0,top
Y2,186.625,-134.3,90.0,top
